ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2;DIAS
BANCO DE CHILE;MARCAS;ppp_beneficio-link-iberia;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/iberia;Travel Iberia;N_A;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-british;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/british;Travel British Airways;N_A;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-delta;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/delta;Travel Delta;N_A;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-jackson-wang-22-mayo-en-el-movistar-arena;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/jackson-wang-22-mayo-en-el-movistar-arena;Jackson Wang – 22 mayo en el Movistar Arena;Compra tus entradas con los mejores beneficios.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-ludovico-einaudi-22-de-marzo-en-el-teatro-municipal;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/ludovico-einaudi-22-de-marzo-en-el-teatro-municipal;Ludovico Einaudi – 22 de marzo en el Teatro Municipal;Compra tus entradas con los mejores beneficios.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-piknic-6-25-de-febrero;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/piknic-6-25-de-febrero;Piknic #6 – 25 de febrero;Compra tus entradas con los mejores beneficios.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-ricky-martin-llega-a-chile-junto-a-banco-de-chile;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/ricky-martin-llega-a-chile-junto-a-banco-de-chile;Ricky Martin llega a Chile con su show Sinfónico;7 de marzo - Movistar Arena.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-travel-duty;;https://portales.bancochile.cl/personas/beneficios/catalogo-productos/detalles/travel-duty;Travel Duty;Canjea tus Dólares-Premio por los mejores productos.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-travel-tienda;;https://portales.bancochile.cl/personas/beneficios/catalogo-productos/detalles/travel-tienda;Travel Tienda;Encuentra las mejores ofertas y productos y compra con hasta 24 cuotas sin interés.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-canjea-dp-giftcard;;https://portales.bancochile.cl/personas/beneficios/catalogo-productos/detalles/canjea-dp-giftcard;Canjea Giftcard;Canjea tus Dólares-Premio y disfruta las mejores Gift Cards para ocupar en distintos comercios.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-bigos;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/bigos;Bigos;20% dcto. todos los viernes.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-poligota-beneficio;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/poligota-beneficio;Poliglota aprende inglés como si estuvieras en Nueva York;Hasta 75% dcto. en los planes de Poliglota.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-totto-bts;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/totto-bts;Totto;25% dcto.Todos los días de Febrero;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-20-sarak;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/20-sarak;Sara K Joyas;20% dcto.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-yambobags;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/yambobags;Yambobags ;20% dcto.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-filadd;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/filadd;Filadd;20% dcto. todos los días;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-flores-ocoa;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/flores-ocoa;Flores de Ocoa;20% dcto. en colección 14 de febrero;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-tous-beneficio;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/tous-beneficio;Tous ;15% dcto. Exclusivo el 06 y 07 de febrero;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-dimeiggs-bts;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/dimeiggs-bts;Dimeiggs;40% dcto. en Dimeiggs;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-20-dcto-pedro-valdivia;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/20-dcto-pedro-valdivia;Pedro de Valdivia;20% dcto.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-laqu;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/laqu;Laqu;20% de dcto. todos los días;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-kaya-unite;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/kaya-unite;Kaya Unite;20% dcto. todos los días;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-santillana-bts;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/santillana-bts;Santillana;20% dcto. en Santillana Todos los días de febrero;
